,mouse,session,fiber side,trial numbers,trial type,side,outcome,last trial type,last choice,last outcome,next trial type,next choice,next outcome,norm APE,stay or switch
146,SNL_photo21,20200829,left,491.0,5.0,contra,1.0,7.0,contra,1.0,6.0,contra,1.0,1.6743067143444434,stay
147,SNL_photo21,20200829,left,330.0,1.0,ipsi,1.0,5.0,ipsi,0.0,2.0,ipsi,1.0,1.6738994906516313,stay
148,SNL_photo21,20200829,left,20.0,3.0,ipsi,1.0,4.0,ipsi,0.0,6.0,ipsi,0.0,1.6687477507247335,stay
149,SNL_photo21,20200829,left,238.0,7.0,contra,1.0,2.0,ipsi,1.0,4.0,contra,1.0,1.664860119811805,switch
150,SNL_photo21,20200829,left,205.0,7.0,contra,1.0,7.0,contra,1.0,6.0,contra,1.0,1.6581169476259832,stay
151,SNL_photo21,20200829,left,497.0,2.0,ipsi,1.0,3.0,contra,0.0,6.0,contra,1.0,1.6517819544965204,switch
152,SNL_photo21,20200829,left,365.0,2.0,ipsi,1.0,2.0,ipsi,1.0,5.0,contra,1.0,1.6515462756094976,stay
153,SNL_photo21,20200829,left,59.0,3.0,ipsi,1.0,5.0,contra,1.0,1.0,ipsi,1.0,1.647743724266722,switch
154,SNL_photo21,20200829,left,166.0,7.0,contra,1.0,1.0,ipsi,1.0,5.0,ipsi,0.0,1.631570791103735,switch
155,SNL_photo21,20200829,left,500.0,1.0,ipsi,1.0,2.0,ipsi,1.0,2.0,ipsi,1.0,1.6214489836849046,stay
156,SNL_photo21,20200829,left,93.0,2.0,ipsi,1.0,3.0,ipsi,1.0,5.0,contra,1.0,1.617403207202408,stay
157,SNL_photo21,20200829,left,298.0,7.0,contra,1.0,6.0,contra,1.0,7.0,contra,1.0,1.6162842669227773,stay
158,SNL_photo21,20200829,left,22.0,6.0,contra,1.0,6.0,ipsi,0.0,1.0,ipsi,1.0,1.6148034113858305,switch
159,SNL_photo21,20200829,left,484.0,7.0,contra,1.0,6.0,contra,1.0,4.0,ipsi,0.0,1.6058319469166047,stay
160,SNL_photo21,20200829,left,179.0,6.0,contra,1.0,7.0,contra,1.0,4.0,contra,1.0,1.5939868200663203,stay
161,SNL_photo21,20200829,left,332.0,6.0,contra,1.0,2.0,ipsi,1.0,2.0,ipsi,1.0,1.593141176940124,switch
162,SNL_photo21,20200829,left,81.0,7.0,contra,1.0,3.0,contra,0.0,3.0,ipsi,1.0,1.590821974309862,stay
163,SNL_photo21,20200829,left,317.0,4.0,ipsi,0.0,6.0,contra,1.0,2.0,ipsi,1.0,1.5849768775884006,switch
164,SNL_photo21,20200829,left,39.0,5.0,contra,1.0,1.0,ipsi,1.0,7.0,contra,1.0,1.5831353122985483,switch
165,SNL_photo21,20200829,left,286.0,7.0,contra,1.0,5.0,contra,1.0,7.0,contra,1.0,1.57781669605704,stay
166,SNL_photo21,20200829,left,421.0,7.0,contra,1.0,6.0,contra,1.0,3.0,ipsi,1.0,1.5773008374411686,stay
167,SNL_photo21,20200829,left,27.0,7.0,contra,1.0,6.0,contra,1.0,2.0,ipsi,1.0,1.576568706525885,stay
168,SNL_photo21,20200829,left,83.0,5.0,contra,1.0,3.0,ipsi,1.0,2.0,ipsi,1.0,1.5637857716208439,switch
169,SNL_photo21,20200829,left,389.0,7.0,contra,1.0,3.0,ipsi,1.0,7.0,contra,1.0,1.5629943837459446,switch
170,SNL_photo21,20200829,left,21.0,6.0,ipsi,0.0,3.0,ipsi,1.0,6.0,contra,1.0,1.5617839379643783,stay
171,SNL_photo21,20200829,left,246.0,1.0,ipsi,1.0,7.0,contra,1.0,2.0,ipsi,1.0,1.5475721261444215,switch
172,SNL_photo21,20200829,left,492.0,6.0,contra,1.0,5.0,contra,1.0,1.0,ipsi,1.0,1.5442515546278752,stay
173,SNL_photo21,20200829,left,345.0,7.0,contra,1.0,2.0,ipsi,1.0,2.0,ipsi,1.0,1.5349431374786642,switch
174,SNL_photo21,20200829,left,423.0,6.0,contra,1.0,3.0,ipsi,1.0,3.0,ipsi,1.0,1.5304230215203685,switch
175,SNL_photo21,20200829,left,135.0,1.0,ipsi,1.0,3.0,ipsi,1.0,4.0,contra,0.0,1.5234321227103895,stay
176,SNL_photo21,20200829,left,132.0,7.0,contra,1.0,6.0,contra,1.0,4.0,contra,0.0,1.5209714691896596,stay
177,SNL_photo21,20200829,left,362.0,7.0,contra,1.0,4.0,contra,0.0,6.0,contra,1.0,1.5183858867387292,stay
178,SNL_photo21,20200829,left,225.0,2.0,ipsi,1.0,2.0,ipsi,1.0,7.0,contra,1.0,1.5101614195192008,stay
179,SNL_photo21,20200829,left,82.0,3.0,ipsi,1.0,7.0,contra,1.0,5.0,contra,1.0,1.5094690361510854,switch
180,SNL_photo21,20200829,left,228.0,7.0,contra,1.0,6.0,contra,1.0,7.0,contra,1.0,1.509273862840067,stay
181,SNL_photo21,20200829,left,412.0,1.0,ipsi,1.0,4.0,contra,0.0,2.0,ipsi,1.0,1.5064197938427721,switch
182,SNL_photo21,20200829,left,452.0,6.0,contra,1.0,5.0,ipsi,0.0,7.0,contra,1.0,1.4904577694894923,switch
183,SNL_photo21,20200829,left,408.0,4.0,contra,1.0,4.0,contra,1.0,5.0,ipsi,0.0,1.4821099276705234,stay
184,SNL_photo21,20200829,left,374.0,4.0,ipsi,1.0,1.0,ipsi,1.0,1.0,ipsi,1.0,1.477172843024557,stay
185,SNL_photo21,20200829,left,268.0,3.0,ipsi,1.0,5.0,contra,1.0,6.0,contra,1.0,1.4755011760597512,switch
186,SNL_photo21,20200829,left,12.0,6.0,ipsi,0.0,4.0,ipsi,0.0,3.0,contra,0.0,1.4617982857561795,stay
187,SNL_photo21,20200829,left,269.0,6.0,contra,1.0,3.0,ipsi,1.0,5.0,contra,1.0,1.4611174524261874,switch
188,SNL_photo21,20200829,left,61.0,7.0,contra,1.0,1.0,ipsi,1.0,5.0,ipsi,0.0,1.440560151314585,switch
189,SNL_photo21,20200829,left,104.0,1.0,ipsi,1.0,5.0,contra,1.0,2.0,ipsi,1.0,1.4388454061087301,switch
190,SNL_photo21,20200829,left,65.0,4.0,contra,0.0,4.0,contra,0.0,6.0,contra,1.0,1.4375569162399269,stay
191,SNL_photo21,20200829,left,304.0,2.0,ipsi,1.0,4.0,ipsi,0.0,1.0,ipsi,1.0,1.4335314189608923,stay
192,SNL_photo21,20200829,left,284.0,6.0,contra,1.0,2.0,ipsi,1.0,5.0,contra,1.0,1.4109162181346568,switch
193,SNL_photo21,20200829,left,291.0,6.0,contra,1.0,5.0,contra,1.0,5.0,contra,1.0,1.4098011467015388,stay
194,SNL_photo21,20200829,left,109.0,5.0,contra,1.0,2.0,ipsi,1.0,5.0,ipsi,0.0,1.3976271226597332,switch
195,SNL_photo21,20200829,left,2.0,4.0,ipsi,0.0,5.0,contra,1.0,4.0,ipsi,0.0,1.3902760557464715,switch
196,SNL_photo21,20200829,left,272.0,4.0,contra,1.0,5.0,contra,1.0,3.0,contra,0.0,1.3892704807626224,stay
